feature,importance
points_per_game_rank,0.4879363267364456
form_rank,0.47843703645253965
value_score,0.01845368268440732
points_per_cost,0.0043937645507334065
form_rank_type,0.002714881116734125
value_form,0.0022047102897391627
value_vs_ownership,0.0020043513791518815
bps,0.0014207136995739444
attacking_value,0.0010911514192159415
points_per_game_rank_type,0.0008464582832556968
value_season,0.0004119418349133367
ict_index,2.9733360589589612e-05
bonus,2.8952031198264356e-05
influence,1.6042401573420167e-05
influence_minutes,4.959004024732303e-06
defensive_value,4.825657566477949e-06
clean_sheets_per_90,4.007223123888588e-07
clean_sheets,6.67697836864187e-08
dreamteam_count,1.6062414177819768e-09
in_dreamteam,0.0
